Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SwapMate_TestSuite,Chrome 101.0.4951.67,,,2022-05-20 22:04:38,2022-05-20 22:06:48,2m - 9.907s,PASSED
,,,,,,,
Test Cases/Admin Login_Logout,Chrome 101.0.4951.67,,,2022-05-20 22:04:38,2022-05-20 22:04:48,10.040s,PASSED
"openBrowser("""")",Chrome 101.0.4951.67,,,2022-05-20 22:04:38,2022-05-20 22:04:40,1.820s,PASSED
"navigateToUrl(""http://localhost:4200/site"")",Chrome 101.0.4951.67,,,2022-05-20 22:04:40,2022-05-20 22:04:42,2.094s,PASSED
"click(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/i_Products_fas fa-user-cog""))",Chrome 101.0.4951.67,,,2022-05-20 22:04:42,2022-05-20 22:04:44,1.565s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/h3_Admin Login Panel""), 0)",Chrome 101.0.4951.67,,,2022-05-20 22:04:44,2022-05-20 22:04:44,0.505s,PASSED
"setText(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/input_Email address_email""), ""Admin@gmail.com"")",Chrome 101.0.4951.67,,,2022-05-20 22:04:44,2022-05-20 22:04:45,0.594s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/input_Password_password""), ""/5S6MFFLcE4mlsixtc6/Tg=="")",Chrome 101.0.4951.67,,,2022-05-20 22:04:45,2022-05-20 22:04:45,0.392s,PASSED
"click(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/button_Submit""))",Chrome 101.0.4951.67,,,2022-05-20 22:04:45,2022-05-20 22:04:46,0.327s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/a_SwapMate Admin""), 0)",Chrome 101.0.4951.67,,,2022-05-20 22:04:46,2022-05-20 22:04:48,2.464s,PASSED
,,,,,,,
Test Cases/Admin Page Navigation,Chrome 101.0.4951.67,,,2022-05-20 22:04:48,2022-05-20 22:05:22,33.962s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Dashboard""))",Chrome 101.0.4951.67,,,2022-05-20 22:04:49,2022-05-20 22:04:49,0.885s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h1_Dashboard""), 0)",Chrome 101.0.4951.67,,,2022-05-20 22:04:49,2022-05-20 22:04:50,0.405s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Showroom New""))",Chrome 101.0.4951.67,,,2022-05-20 22:04:50,2022-05-20 22:04:51,0.956s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h1_Showroom""), 0)",Chrome 101.0.4951.67,,,2022-05-20 22:04:51,2022-05-20 22:04:51,0.411s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_My Calendar 6""))",Chrome 101.0.4951.67,,,2022-05-20 22:04:51,2022-05-20 22:04:52,0.761s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h1_Appointments""), 0)",Chrome 101.0.4951.67,,,2022-05-20 22:04:52,2022-05-20 22:04:52,0.480s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/i_New_right fas fa-angle-left""))",Chrome 101.0.4951.67,,,2022-05-20 22:04:52,2022-05-20 22:04:53,0.306s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Manage Stock""))",Chrome 101.0.4951.67,,,2022-05-20 22:04:53,2022-05-20 22:04:54,0.863s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h4_Manage Current Stock""), 0)",Chrome 101.0.4951.67,,,2022-05-20 22:04:54,2022-05-20 22:05:02,8.165s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/i_New_right fas fa-angle-left""))",Chrome 101.0.4951.67,,,2022-05-20 22:05:02,2022-05-20 22:05:02,0.288s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Manage Donations""))",Chrome 101.0.4951.67,,,2022-05-20 22:05:02,2022-05-20 22:05:03,1.044s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h1_Donations List""), 0)",Chrome 101.0.4951.67,,,2022-05-20 22:05:03,2022-05-20 22:05:06,3.330s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/i_New_right fas fa-angle-left""))",Chrome 101.0.4951.67,,,2022-05-20 22:05:06,2022-05-20 22:05:07,0.294s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Manage Showroom""))",Chrome 101.0.4951.67,,,2022-05-20 22:05:07,2022-05-20 22:05:08,0.780s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h4_Items In Showroom""), 0)",Chrome 101.0.4951.67,,,2022-05-20 22:05:08,2022-05-20 22:05:16,8.123s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Orders""))",Chrome 101.0.4951.67,,,2022-05-20 22:05:16,2022-05-20 22:05:17,0.859s,PASSED
