Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SwapMate_TestSuite,Chrome 101.0.4951.67,,,2022-05-21 07:45:26,2022-05-21 07:47:21,1m - 55.663s,FAILED
,,,,,,,
Test Cases/Admin/Login,Chrome 101.0.4951.67,,,2022-05-21 07:45:26,2022-05-21 07:45:36,9.896s,PASSED
"openBrowser("""")",Chrome 101.0.4951.67,,,2022-05-21 07:45:26,2022-05-21 07:45:28,1.864s,PASSED
"navigateToUrl(""http://localhost:4200/site"")",Chrome 101.0.4951.67,,,2022-05-21 07:45:28,2022-05-21 07:45:30,1.910s,PASSED
"click(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/i_Products_fas fa-user-cog""))",Chrome 101.0.4951.67,,,2022-05-21 07:45:30,2022-05-21 07:45:31,1.674s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/h3_Admin Login Panel""), 0)",Chrome 101.0.4951.67,,,2022-05-21 07:45:31,2022-05-21 07:45:32,0.492s,PASSED
"setText(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/input_Email address_email""), ""Admin@gmail.com"")",Chrome 101.0.4951.67,,,2022-05-21 07:45:32,2022-05-21 07:45:33,0.594s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/input_Password_password""), ""/5S6MFFLcE4mlsixtc6/Tg=="")",Chrome 101.0.4951.67,,,2022-05-21 07:45:33,2022-05-21 07:45:33,0.356s,PASSED
"click(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/button_Submit""))",Chrome 101.0.4951.67,,,2022-05-21 07:45:33,2022-05-21 07:45:33,0.300s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/a_SwapMate Admin""), 0)",Chrome 101.0.4951.67,,,2022-05-21 07:45:33,2022-05-21 07:45:36,2.458s,PASSED
,,,,,,,
Test Cases/Admin/Page Navigation,Chrome 101.0.4951.67,,,2022-05-21 07:45:36,2022-05-21 07:46:02,26.099s,FAILED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Dashboard""))",Chrome 101.0.4951.67,,,2022-05-21 07:45:36,2022-05-21 07:45:37,0.642s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h1_Dashboard""), 0)",Chrome 101.0.4951.67,,,2022-05-21 07:45:37,2022-05-21 07:45:37,0.481s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Showroom New""))",Chrome 101.0.4951.67,,,2022-05-21 07:45:37,2022-05-21 07:45:38,0.916s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h1_Showroom""), 0)",Chrome 101.0.4951.67,,,2022-05-21 07:45:38,2022-05-21 07:45:38,0.484s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_My Calendar 6""))",Chrome 101.0.4951.67,,,2022-05-21 07:45:38,2022-05-21 07:45:39,0.629s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h1_Appointments""), 0)",Chrome 101.0.4951.67,,,2022-05-21 07:45:39,2022-05-21 07:45:40,0.473s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/i_New_right fas fa-angle-left""))",Chrome 101.0.4951.67,,,2022-05-21 07:45:40,2022-05-21 07:45:40,0.301s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Manage Stock""))",Chrome 101.0.4951.67,,,2022-05-21 07:45:40,2022-05-21 07:45:41,0.837s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h4_Manage Current Stock""), 0)",Chrome 101.0.4951.67,,,2022-05-21 07:45:41,2022-05-21 07:45:48,7.231s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/i_New_right fas fa-angle-left""))",Chrome 101.0.4951.67,,,2022-05-21 07:45:48,2022-05-21 07:45:48,0.282s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Manage Donations""))",Chrome 101.0.4951.67,,,2022-05-21 07:45:48,2022-05-21 07:45:49,1.068s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h1_Donations List""), 0)",Chrome 101.0.4951.67,,,2022-05-21 07:45:49,2022-05-21 07:45:52,3.237s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/i_New_right fas fa-angle-left""))",Chrome 101.0.4951.67,,,2022-05-21 07:45:52,2022-05-21 07:45:53,0.292s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Manage Showroom""))",Chrome 101.0.4951.67,,,2022-05-21 07:45:53,2022-05-21 07:45:54,0.780s,PASSED
"verifyElementNotVisibleInViewport(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h4_Items In Showroom""), 0)",Chrome 101.0.4951.67,,,2022-05-21 07:45:54,2022-05-21 07:46:02,8.211s,FAILED
,,,,,,,
Test Cases/Admin/Add stock items,Chrome 101.0.4951.67,,,2022-05-21 07:46:02,2022-05-21 07:47:09,1m - 7.618s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/i_New_right fas fa-angle-left_1""))",Chrome 101.0.4951.67,,,2022-05-21 07:46:02,2022-05-21 07:46:02,0.288s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/i_New_right fas fa-angle-left_1""))",Chrome 101.0.4951.67,,,2022-05-21 07:46:02,2022-05-21 07:46:03,0.508s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/a_Manage Stock""))",Chrome 101.0.4951.67,,,2022-05-21 07:46:03,2022-05-21 07:46:04,1.020s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Add stock/Page_SwapMate/h4_Manage Current Stock""), 0)",Chrome 101.0.4951.67,,,2022-05-21 07:46:04,2022-05-21 07:46:09,5.415s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/button_Add new Item""))",Chrome 101.0.4951.67,,,2022-05-21 07:46:09,2022-05-21 07:46:10,0.310s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Add stock/Page_SwapMate/h5_Enter Stock Item Details""), 0)",Chrome 101.0.4951.67,,,2022-05-21 07:46:10,2022-05-21 07:46:10,0.595s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Add stock/Page_SwapMate/select_Ladies WearMens WearKids WearGeneral""), ""Ladies' Wear"", true)",Chrome 101.0.4951.67,,,2022-05-21 07:46:10,2022-05-21 07:46:11,0.827s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Add stock/Page_SwapMate/select_Please select Category firstBridal W_fb86c9""), ""Ladies' Skirts"", true)",Chrome 101.0.4951.67,,,2022-05-21 07:46:11,2022-05-21 07:46:12,1.082s,PASSED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/p_Rejected""))",Chrome 101.0.4951.67,,,2022-05-21 07:46:12,2022-05-21 07:46:13,0.490s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Add stock/Page_SwapMate/select_General3S2SXSSMLXL2XL3XL""), ""XL"", true)",Chrome 101.0.4951.67,,,2022-05-21 07:46:13,2022-05-21 07:46:13,0.831s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Add stock/Page_SwapMate/select_UsedUsed in good conditionNot Used""), ""Used in Good Condition"", true)",Chrome 101.0.4951.67,,,2022-05-21 07:46:13,2022-05-21 07:46:14,0.971s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Add stock/Page_SwapMate/select_AvailableNot Available""), ""Available"", true)",Chrome 101.0.4951.67,,,2022-05-21 07:46:14,2022-05-21 07:46:15,1.100s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Add stock/Page_SwapMate/select_AvailableNot Available_1""), ""Available"", true)",Chrome 101.0.4951.67,,,2022-05-21 07:46:15,2022-05-21 07:46:16,0.992s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Add stock/Page_SwapMate/select_LuxuriousWell KnownModerateUnbranded""), ""Well Known"", true)",Chrome 101.0.4951.67,,,2022-05-21 07:46:16,2022-05-21 07:46:17,1.024s,PASSED
