Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SwapMate_TestSuite,Firefox 100.0,,,2022-05-20 22:03:42,2022-05-20 22:04:27,44.515s,FAILED
,,,,,,,
Test Cases/Admin Login_Logout,Firefox 100.0,,,2022-05-20 22:03:43,2022-05-20 22:04:00,17.259s,PASSED
"openBrowser("""")",Firefox 100.0,,,2022-05-20 22:03:43,2022-05-20 22:03:48,5.072s,PASSED
"navigateToUrl(""http://localhost:4200/site"")",Firefox 100.0,,,2022-05-20 22:03:48,2022-05-20 22:03:50,2.323s,PASSED
"click(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/i_Products_fas fa-user-cog""))",Firefox 100.0,,,2022-05-20 22:03:50,2022-05-20 22:03:53,2.226s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/h3_Admin Login Panel""), 0)",Firefox 100.0,,,2022-05-20 22:03:53,2022-05-20 22:03:53,0.487s,PASSED
"setText(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/input_Email address_email""), ""Admin@gmail.com"")",Firefox 100.0,,,2022-05-20 22:03:53,2022-05-20 22:03:54,0.522s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/input_Password_password""), ""/5S6MFFLcE4mlsixtc6/Tg=="")",Firefox 100.0,,,2022-05-20 22:03:54,2022-05-20 22:03:54,0.302s,PASSED
"click(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/button_Submit""))",Firefox 100.0,,,2022-05-20 22:03:54,2022-05-20 22:03:54,0.492s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/a_SwapMate Admin""), 0)",Firefox 100.0,,,2022-05-20 22:03:54,2022-05-20 22:03:57,2.289s,PASSED
"click(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/a_Dashboard""))",Firefox 100.0,,,2022-05-20 22:03:57,2022-05-20 22:03:57,0.739s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/h1_Dashboard""), 0)",Firefox 100.0,,,2022-05-20 22:03:57,2022-05-20 22:03:58,0.771s,PASSED
"click(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/a_Log Out""))",Firefox 100.0,,,2022-05-20 22:03:58,2022-05-20 22:03:59,1.196s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/h1_SwapMate""), 0)",Firefox 100.0,,,2022-05-20 22:03:59,2022-05-20 22:04:00,0.529s,PASSED
,,,,,,,
Test Cases/Admin Page Navigation,Firefox 100.0,,,2022-05-20 22:04:00,2022-05-20 22:04:26,26.442s,FAILED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Dashboard""))",Firefox 100.0,,,2022-05-20 22:04:00,2022-05-20 22:04:26,26.164s,FAILED
,,,,,,,
Test Cases/Add stock items,Firefox 100.0,,,2022-05-20 22:04:26,2022-05-20 22:04:27,0.318s,FAILED
"click(findTestObject(""Object Repository/Add stock/Page_SwapMate/i_New_right fas fa-angle-left_1""))",Firefox 100.0,,,2022-05-20 22:04:27,2022-05-20 22:04:27,0.054s,FAILED
,,,,,,,
Test Cases/Search stock items,Firefox 100.0,,,2022-05-20 22:04:27,2022-05-20 22:04:27,0.281s,FAILED
"click(findTestObject(""Object Repository/Stock_Search/Page_SwapMate/i_New_right fas fa-angle-left""))",Firefox 100.0,,,2022-05-20 22:04:27,2022-05-20 22:04:27,0.051s,FAILED
