Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SwapMate_TestSuite,Firefox 100.0,,,2022-05-20 22:05:54,2022-05-20 22:08:05,2m - 10.480s,PASSED
,,,,,,,
Test Cases/Admin Login_Logout,Firefox 100.0,,,2022-05-20 22:05:55,2022-05-20 22:06:07,12.758s,PASSED
"openBrowser("""")",Firefox 100.0,,,2022-05-20 22:05:55,2022-05-20 22:05:59,3.972s,PASSED
"navigateToUrl(""http://localhost:4200/site"")",Firefox 100.0,,,2022-05-20 22:05:59,2022-05-20 22:06:01,1.926s,PASSED
"click(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/i_Products_fas fa-user-cog""))",Firefox 100.0,,,2022-05-20 22:06:01,2022-05-20 22:06:03,2.442s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/h3_Admin Login Panel""), 0)",Firefox 100.0,,,2022-05-20 22:06:03,2022-05-20 22:06:04,0.493s,PASSED
"setText(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/input_Email address_email""), ""Admin@gmail.com"")",Firefox 100.0,,,2022-05-20 22:06:04,2022-05-20 22:06:04,0.535s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/input_Password_password""), ""/5S6MFFLcE4mlsixtc6/Tg=="")",Firefox 100.0,,,2022-05-20 22:06:04,2022-05-20 22:06:05,0.337s,PASSED
"click(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/button_Submit""))",Firefox 100.0,,,2022-05-20 22:06:05,2022-05-20 22:06:05,0.505s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Login_Logout/Page_SwapMate/a_SwapMate Admin""), 0)",Firefox 100.0,,,2022-05-20 22:06:05,2022-05-20 22:06:07,2.222s,PASSED
,,,,,,,
Test Cases/Admin Page Navigation,Firefox 100.0,,,2022-05-20 22:06:07,2022-05-20 22:06:39,31.280s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Dashboard""))",Firefox 100.0,,,2022-05-20 22:06:08,2022-05-20 22:06:08,0.755s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h1_Dashboard""), 0)",Firefox 100.0,,,2022-05-20 22:06:08,2022-05-20 22:06:09,0.780s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Showroom New""))",Firefox 100.0,,,2022-05-20 22:06:09,2022-05-20 22:06:12,2.410s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h1_Showroom""), 0)",Firefox 100.0,,,2022-05-20 22:06:12,2022-05-20 22:06:12,0.807s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_My Calendar 6""))",Firefox 100.0,,,2022-05-20 22:06:12,2022-05-20 22:06:13,0.771s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h1_Appointments""), 0)",Firefox 100.0,,,2022-05-20 22:06:13,2022-05-20 22:06:14,0.802s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/i_New_right fas fa-angle-left""))",Firefox 100.0,,,2022-05-20 22:06:14,2022-05-20 22:06:14,0.484s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Manage Stock""))",Firefox 100.0,,,2022-05-20 22:06:14,2022-05-20 22:06:15,0.907s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/h4_Manage Current Stock""), 0)",Firefox 100.0,,,2022-05-20 22:06:15,2022-05-20 22:06:26,10.576s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/i_New_right fas fa-angle-left""))",Firefox 100.0,,,2022-05-20 22:06:26,2022-05-20 22:06:26,0.479s,PASSED
"click(findTestObject(""Object Repository/Admin_Page_Navigation/Page_SwapMate/a_Manage Donations""))",Firefox 100.0,,,2022-05-20 22:06:26,2022-05-20 22:06:27,0.853s,PASSED
